Year,Month,Deal ID,Stage,PSO/Non-PSO,Region,Practice,Channel,Business Unit,Weight,Leads UW,Leads,SalesOps,Actuals
2021,3,4331,L3,Non-PSO,EMEA,Others,GCP,Others,0.10,"$47,057","$4,706",$0,$0
2021,3,4333,L2,Non-PSO,US-West,ML Ops,Nvidia,Others,0.30,"$10,941","$3,282",$0,$0
2021,3,4340,L1,Non-PSO,Canada,Custom AI/ML,AWS,BFSI,0.90,"$22,629","$20,366",$0,"$8,953"
2021,3,4354,L2,Non-PSO,Canada,Custom AI/ML,AWS,BFSI,0.30,"$10,189","$3,057",$0,$0
2021,3,4357,L2,Non-PSO,India,Custom AI/ML,AWS,BFSI,0.30,"$2,612",$784,$0,"$2,747"
2021,3,4362,L1 Extn,Non-PSO,US-West,Conversational AI,GCP,Edu & PubSec,0.75,"$19,950","$14,963","$14,963",$0
2021,3,4363,L1,PSO,US-West,Document Understanding AI,GCP,HCLS,0.50,"$78,000","$39,000",$0,"$80,750"
2021,3,4366,L2-L4 Extn,Non-PSO,US-East,Custom AI/ML,GCP,Edu & PubSec,0.90,"$11,200","$10,080",$0,"$5,001"
2021,3,4373,L2,PSO,US-East,Marketing Analytics,GCP,Others,0.30,"$32,436","$9,731",$0,$0
2021,3,4375,L1,Non-PSO,US-East,Marketing Analytics,GCP,Others,0.90,"$17,143","$15,429",$0,$0
2021,3,4376,L2,PSO,US-East,Document Understanding AI,GCP,Edu & PubSec,0.30,"$8,574","$2,572",$0,$0
2021,3,4377,Commit,Non-PSO,US-East,Data & Analytics,Direct,BFSI,0.00,$0,$0,$0,"$17,424"
2021,3,4378,L2,PSO,US-East,Document Understanding AI,GCP,Edu & PubSec,0.30,"$30,007","$9,002",$0,$0
2021,3,4390,L2,PSO,US-West,Conversational AI,GCP,Edu & PubSec,0.30,"$45,524","$13,657",$0,$0
2021,3,4405,L3,Non-PSO,EMEA,Custom AI/ML,Direct,TMEG,0.10,"$43,396","$4,340",$0,$0
2021,3,4413,L3,Non-PSO,US-East,Data & Analytics,GCP,Others,0.10,"$5,357",$536,$0,$0
2021,3,4415,L4,Non-PSO,US-West,Data & Analytics,GCP,Edu & PubSec,0.10,"$2,143",$214,$0,$0
